Date,Open,High,Low,Close,Adj Close,Volume,Percent Changes
2019-10-28,61.855,62.3125,61.68,62.262501,61.65081,96572800,
2019-10-29,62.2425,62.4375,60.642502,60.822498,60.224953,142839600,-0.023127933778310572
2019-10-30,61.189999,61.325001,60.302502,60.814999,60.217525,124522000,-0.00012329319325232735
2019-10-31,61.810001,62.2925,59.314999,62.189999,61.579021,139162000,0.022609553935863724
2019-11-01,62.384998,63.982498,62.290001,63.955002,63.326683,151125200,0.02838081730794051
2019-11-04,64.332497,64.462502,63.845001,64.375,63.742554,103272000,0.0065670860271414
2019-11-05,64.262497,64.547501,64.080002,64.282501,63.65097,79897600,-0.0014368776699029695
2019-11-06,64.192497,64.372498,63.842499,64.309998,63.678192,75864400,0.0004277524920817122
2019-11-07,64.684998,65.087502,64.527496,64.857498,64.413116,94940400,0.008513450739028317
2019-11-08,64.672501,65.110001,64.212502,65.035004,64.589409,69986400,0.0027368616655547573
2019-11-11,64.574997,65.6175,64.57,65.550003,65.100876,81821200,0.007918797083490636
2019-11-12,65.387497,65.697502,65.230003,65.489998,65.041283,87388800,-0.0009154080435359591
2019-11-13,65.282501,66.195,65.267502,66.1175,65.66449,102734400,0.00958164634544656
2019-11-14,65.9375,66.220001,65.525002,65.660004,65.210121,89182800,-0.00691943887775559
2019-11-15,65.919998,66.445,65.752502,66.440002,65.984779,100206400,0.011879347433484844
2019-11-18,66.449997,66.857498,66.057503,66.775002,66.31749,86703200,0.005042143135395971
2019-11-19,66.974998,67.0,66.347504,66.572502,66.116371,76167200,-0.003032571979556087
2019-11-20,66.385002,66.519997,65.099998,65.797501,65.346687,106234400,-0.011641458210478572
2019-11-21,65.922501,66.002502,65.294998,65.502502,65.053703,121395200,-0.004483437752445751
2019-11-22,65.647499,65.794998,65.209999,65.445,64.996597,65325200,-0.0008778595968748082
2019-11-25,65.677498,66.610001,65.629997,66.592499,66.13623,84020400,0.017533791733516768
2019-11-26,66.735001,66.790001,65.625,66.072502,65.619789,105207600,-0.007808642231612373
2019-11-27,66.394997,66.995003,66.327499,66.959999,66.501213,65235600,0.013432168801478017
2019-11-29,66.650002,67.0,66.474998,66.8125,66.354729,46617600,-0.002202792744964044
2019-12-02,66.817497,67.0625,65.862503,66.040001,65.587517,94487200,-0.01156219270346115
2019-12-03,64.577499,64.8825,64.072502,64.862503,64.418091,114430400,-0.01783007241323331
2019-12-04,65.267502,65.827499,65.169998,65.434998,64.986664,67181600,0.008826285966793357
2019-12-05,65.947502,66.472504,65.682503,66.394997,65.940086,74424400,0.014671032770567471
2019-12-06,66.870003,67.75,66.824997,67.677498,67.213799,106075600,0.01931622950446088
2019-12-09,67.5,67.699997,66.227501,66.730003,66.272789,128042400,-0.014000148173326399
2019-12-10,67.150002,67.517502,66.464996,67.120003,66.660126,90420400,0.005844447511863526
2019-12-11,67.202499,67.775002,67.125,67.692497,67.228699,78756800,0.008529409630688045
2019-12-12,66.945,68.139999,66.830002,67.864998,67.400017,137310400,0.002548303100711413
2019-12-13,67.864998,68.824997,67.732498,68.787498,68.316193,133587600,0.013593163297521915
2019-12-16,69.25,70.197502,69.245003,69.964996,69.485619,128186000,0.017117907094105878
2019-12-17,69.892502,70.442497,69.699997,70.102501,69.622192,114158400,0.0019653399251249315
2019-12-18,69.949997,70.474998,69.779999,69.934998,69.455833,116028400,-0.0023894011998232267
2019-12-19,69.875,70.294998,69.737503,70.004997,69.525352,98369200,0.0010009151641072744
2019-12-20,70.557503,70.662498,69.639999,69.860001,69.381348,275978000,-0.0020712235727973205
2019-12-23,70.1325,71.0625,70.092499,71.0,70.513535,98572000,0.01631833643976055
2019-12-24,71.172501,71.222504,70.730003,71.067497,70.580566,48478800,0.0009506619718311349
2019-12-26,71.205002,72.495003,71.175003,72.477501,71.980911,93121200,0.01984034980154159
2019-12-27,72.779999,73.4925,72.029999,72.449997,71.953598,146266000,-0.00037948328268111453
2019-12-30,72.364998,73.172501,71.305,72.879997,72.380653,144114400,0.0059351279200192675
2019-12-31,72.482498,73.419998,72.379997,73.412498,72.9095,100805600,0.007306545306251744
2020-01-02,74.059998,75.150002,73.797501,75.087502,74.573036,135480400,0.022816332990058363
2020-01-03,74.287498,75.144997,74.125,74.357498,73.84803,146322800,-0.009722044022718923
2020-01-06,73.447502,74.989998,73.1875,74.949997,74.43647,118387200,0.007968248205446393
2020-01-07,74.959999,75.224998,74.370003,74.597504,74.086395,108872000,-0.004703042216265829
2020-01-08,74.290001,76.110001,74.290001,75.797501,75.27816,132079200,0.016086288892454004
2020-01-09,76.809998,77.607498,76.550003,77.407501,76.877136,170108400,0.02124080581495691
2020-01-10,77.650002,78.167503,77.0625,77.582497,77.050926,140644800,0.0022607111421928394
2020-01-13,77.910004,79.267502,77.787498,79.239998,78.697075,121532000,0.021364367790327687
2020-01-14,79.175003,79.392502,78.042503,78.169998,77.634407,161954400,-0.013503281511945464
2020-01-15,77.962502,78.875,77.387497,77.834999,77.301704,121923600,-0.0042855188508513775
2020-01-16,78.397499,78.925003,78.022499,78.809998,78.27002,108829200,0.012526485675165233
2020-01-17,79.067497,79.684998,78.75,79.682503,79.136551,137816400,0.011070993809694007
2020-01-21,79.297501,79.754997,79.0,79.142502,78.60025,110843200,-0.006776908099887402
2020-01-22,79.644997,79.997498,79.327499,79.425003,78.880821,101832400,0.0035695232379691078
2020-01-23,79.480003,79.889999,78.912498,79.807503,79.260696,104472000,0.0048158638407604926
2020-01-24,80.0625,80.832497,79.379997,79.577499,79.032265,146537600,-0.002881984667531756
2020-01-27,77.514999,77.942497,76.220001,77.237503,76.708298,161940000,-0.029405246827372666
2020-01-28,78.150002,79.599998,78.047501,79.422501,78.878326,162234000,0.028289340218572212
2020-01-29,81.112503,81.962502,80.345001,81.084999,80.529434,216229200,0.020932329995500876
2020-01-30,80.135002,81.022499,79.6875,80.967499,80.412743,126743200,-0.0014490966448675868
2020-01-31,80.232498,80.669998,77.072502,77.377502,76.847343,199588400,-0.04433874140042282
2020-02-03,76.074997,78.372498,75.555,77.165001,76.636299,173985600,-0.002746289224999865
2020-02-04,78.827499,79.910004,78.407501,79.712502,79.166336,136616400,0.033013684532965826
2020-02-05,80.879997,81.190002,79.737503,80.362503,79.811897,118826800,0.008154316872402312
2020-02-06,80.642502,81.305,80.065002,81.302498,80.745445,105425600,0.011696935323181723
2020-02-07,80.592499,80.849998,79.5,80.0075,79.647896,117684000,-0.01592814528281783
2020-02-10,78.544998,80.387497,78.462502,80.387497,80.026192,109348800,0.004749517232759404
2020-02-11,80.900002,80.974998,79.677498,79.902496,79.543365,94323200,-0.006033288982738139
2020-02-12,80.3675,81.805,80.3675,81.800003,81.43235,113730400,0.02374778129584354
2020-02-13,81.047501,81.555,80.837502,81.217499,80.852463,94747600,-0.0071210755334568665
2020-02-14,81.184998,81.495003,80.712502,81.237503,80.872375,80113600,0.0002463016005946894
2020-02-18,78.839996,79.9375,78.652496,79.75,79.391556,152531200,-0.01831054556169709
2020-02-19,80.0,81.142502,80.0,80.904999,80.541367,93984000,0.014482746081504683
2020-02-20,80.657501,81.162498,79.552498,80.074997,79.715088,100566000,-0.010258970524182454
2020-02-21,79.654999,80.112503,77.625,78.262497,77.910744,129554000,-0.02263503050771265
2020-02-24,74.315002,76.044998,72.307503,74.544998,74.209946,222195200,-0.04750038834053538
2020-02-25,75.237503,75.6325,71.532501,72.019997,71.696297,230673600,-0.0338721720805466
2020-02-26,71.6325,74.470001,71.625,73.162498,72.833664,198054800,0.0158636635322269
2020-02-27,70.275002,71.5,68.239998,68.379997,68.072662,320605600,-0.0653682027095357
2020-02-28,64.315002,69.602501,64.092499,68.339996,68.032837,426884800,-0.0005849810142577461
