year,unemployment_rate,cpi_index
2014,3.296,119.384996620861
2015,3.314,122.955620635278
2016,3.392,125.917999549448
2017,3.124,127.799053840955
2018,2.805,130.874070736652
2019,2.917,134.647443117819
2020,5.808,134.985357062402
